component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_position_l,metaValue_peak_apex_position_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_calculated_concentration_l,metaValue_calculated_concentration_u
Malate_245,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Malate_246,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Malate_247,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Malate_248,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Malate_249,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Malate_250,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Erythritol_307,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Erythritol_308,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Erythritol_309,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Erythritol_310,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
